student_id,university_id,rank,satisfaction
0,710,2,0.98
1,482,1,1.0
10,49,7,0.88
100,99,1,1.0
1000,247,37,0.28
10000,913,19,0.64
10001,740,16,0.7
10002,221,2,0.98
10003,103,1,1.0
10004,469,1,1.0
10005,538,3,0.96
10006,742,31,0.4
10007,792,2,0.98
10008,34,21,0.6
10009,827,4,0.94
1001,111,27,0.48
10010,165,1,1.0
10011,614,18,0.66
10012,866,10,0.82
10013,839,1,1.0
10014,276,2,0.98
10015,286,33,0.36
10016,559,31,0.4
10017,787,35,0.32
10018,522,1,1.0
10019,13,7,0.88
1002,322,1,1.0
10020,696,4,0.94
10021,231,41,0.2
10022,927,16,0.7
10023,165,1,1.0
10024,817,35,0.32
10025,969,4,0.94
10026,523,25,0.52
10027,26,14,0.74
10028,542,10,0.82
10029,304,1,1.0
1003,919,2,0.98
10030,536,23,0.56
10031,230,5,0.92
10032,663,19,0.64
10033,600,33,0.36
10034,981,2,0.98
10035,544,1,1.0
10036,48,1,1.0
10037,716,23,0.56
10038,604,19,0.64
10039,301,5,0.92
1004,979,6,0.9
10040,894,1,1.0
10041,157,4,0.94
10042,365,3,0.96
10043,346,3,0.96
10044,814,2,0.98
10045,553,1,1.0
10046,536,22,0.58
10047,223,16,0.7
10048,913,21,0.6
10049,390,2,0.98
1005,156,1,1.0
10050,482,1,1.0
10051,579,14,0.74
10052,174,4,0.94
10053,847,32,0.38
10054,496,36,0.3
10055,672,1,1.0
10056,14,17,0.68
10057,761,3,0.96
10058,395,11,0.8
10059,345,6,0.9
1006,879,21,0.6
10060,156,1,1.0
10061,590,24,0.54
10062,867,2,0.98
10063,905,1,1.0
10064,911,17,0.68
10065,277,1,1.0
10066,972,1,1.0
10067,194,1,1.0
10068,304,1,1.0
10069,960,2,0.98
1007,484,8,0.86
10070,941,5,0.92
10071,213,10,0.82
10072,614,21,0.6
10073,627,1,1.0
10074,543,33,0.36
10075,433,1,1.0
10076,152,2,0.98
10077,448,11,0.8
10078,929,7,0.88
10079,909,1,1.0
1008,401,28,0.46
10080,663,25,0.52
10081,323,2,0.98
10082,696,4,0.94
10083,688,11,0.8
10084,867,1,1.0
10085,848,3,0.96
10086,755,11,0.8
10087,376,3,0.96
10088,888,1,1.0
10089,700,5,0.92
1009,607,39,0.24
10090,350,2,0.98
10091,887,16,0.7
10092,206,23,0.56
10093,664,1,1.0
