origen,destino,tiempo
N1,N2,89
N1,N3,108
N1,N4,14
N1,N5,87
N1,N6,60
N1,N7,85
N1,N8,49
N1,N9,85
N1,N10,109
N1,N11,116
N1,N12,40
N1,N13,40
N1,N14,25
N1,N15,32
N1,N16,107
N1,N17,77
N1,N18,68
N1,N19,13
N1,N20,81
N1,N21,82
N1,N22,79
N1,N23,65
N1,N24,89
N1,N25,65
N1,N26,69
N1,N27,79
N1,N28,91
N1,N29,44
N1,N30,93
N1,N31,11
N1,N32,33
N1,N33,86
N1,N34,107
N1,N35,7
N1,N36,119
N1,N37,34
N1,N38,113
N1,N39,106
N1,N40,86
N1,N41,70
N1,N42,10
N1,N43,55
N1,N44,38
N1,N45,14
N1,N46,67
N1,N47,63
N1,N48,74
N1,N49,51
N1,N50,82
N1,N51,45
N1,N52,58
N1,N53,66
N1,N54,31
N1,N55,118
N1,N56,29
N1,N57,10
N1,N58,42
N1,N59,107
N1,N60,18
N1,N61,75
N1,N62,64
N1,N63,24
N1,N64,112
N1,N65,114
N1,N66,14
N1,N67,39
N1,N68,45
N1,N69,53
N1,N70,10
N1,N71,64
N1,N72,38
N1,N73,7
N1,N74,96
N1,N75,49
N1,N76,8
N1,N77,65
N1,N78,120
N1,N79,79
N1,N80,72
N1,N81,100
N1,N82,5
N1,N83,49
N1,N84,53
N1,N85,35
N1,N86,48
N1,N87,76
N1,N88,94
N1,N89,47
N1,N90,17
N1,N91,45
N1,N92,11
N1,N93,11
N1,N94,75
N1,N95,13
N1,N96,46
N1,N97,34
N1,N98,16
N1,N99,43
N1,N100,106
N1,N101,57
N1,N102,58
N1,N103,66
N1,N104,72
N1,N105,72
N1,N106,6
N1,N107,9
N1,N108,88
N1,N109,94
N1,N110,106
N1,N111,20
N1,N112,67
N1,N113,90
N1,N114,52
N1,N115,61
N1,N116,89
N1,N117,43
N1,N118,50
N1,N119,65
N1,N120,37
N1,N121,63
N1,N122,7
N1,N123,12
N1,N124,37
N1,N125,113
N1,N126,16
N1,N127,98
N1,N128,103
N1,N129,114
N1,N130,28
N1,N131,97
N1,N132,15
N1,N133,88
N1,N134,15
N1,N135,57
N1,N136,93
N1,N137,61
N1,N138,75
N1,N139,17
N1,N140,102
N1,N141,81
N1,N142,86
N1,N143,108
N1,N144,77
N1,N145,100
N1,N146,33
N1,N147,82
N1,N148,106
N1,N149,90
N1,N150,104
N1,N151,79
N1,N152,22
N1,N153,25
N1,N154,6
N1,N155,20
N1,N156,97
N1,N157,28
N1,N158,70
N1,N159,71
N1,N160,116
N1,N161,75
N1,N162,119
N1,N163,86
N1,N164,57
N1,N165,104
N1,N166,15
N1,N167,14
N1,N168,80
N1,N169,77
N1,N170,55
N1,N171,66
N1,N172,112
N1,N173,41
N1,N174,105
N1,N175,82
N1,N176,86
N1,N177,13
N1,N178,47
N1,N179,27
N1,N180,7
N1,N181,9
N1,N182,91
N1,N183,53
N1,N184,108
N1,N185,105
N1,N186,71
N1,N187,98
N1,N188,85
N1,N189,22
N1,N190,43
N1,N191,55
N1,N192,98
N1,N193,17
N1,N194,84
N1,N195,50
N1,N196,62
N1,N197,17
N1,N198,25
N1,N199,12
N1,N200,119
N2,N3,95
N2,N4,81
N2,N5,56
N2,N6,99
N2,N7,47
N2,N8,37
N2,N9,110
N2,N10,35
N2,N11,75
N2,N12,36
N2,N13,114
N2,N14,85
N2,N15,112
N2,N16,44
N2,N17,71
N2,N18,76
N2,N19,93
N2,N20,94
N2,N21,70
N2,N22,64
N2,N23,69
N2,N24,6
N2,N25,13
N2,N26,83
N2,N27,63
N2,N28,5
N2,N29,45
N2,N30,31
N2,N31,42
N2,N32,28
N2,N33,33
N2,N34,23
N2,N35,110
N2,N36,117
N2,N37,57
N2,N38,111
N2,N39,91
N2,N40,34
N2,N41,46
N2,N42,30
N2,N43,34
N2,N44,66
N2,N45,60
N2,N46,35
N2,N47,93
N2,N48,27
N2,N49,58
N2,N50,88
N2,N51,102
N2,N52,119
N2,N53,112
N2,N54,76
N2,N55,75
N2,N56,102
N2,N57,85
N2,N58,77
N2,N59,72
N2,N60,115
N2,N61,9
N2,N62,81
N2,N63,14
N2,N64,77
N2,N65,44
N2,N66,59
N2,N67,101
N2,N68,79
N2,N69,106
N2,N70,10
N2,N71,114
N2,N72,53
N2,N73,101
N2,N74,72
N2,N75,34
N2,N76,51
N2,N77,106
N2,N78,71
N2,N79,93
N2,N80,37
N2,N81,108
N2,N82,11
N2,N83,32
N2,N84,51
N2,N85,12
N2,N86,42
N2,N87,50
N2,N88,24
N2,N89,96
N2,N90,56
N2,N91,111
N2,N92,97
N2,N93,35
N2,N94,31
N2,N95,58
N2,N96,14
N2,N97,54
N2,N98,36
N2,N99,14
N2,N100,36
N2,N101,42
N2,N102,21
N2,N103,81
N2,N104,69
N2,N105,100
N2,N106,92
N2,N107,52
N2,N108,69
N2,N109,77
N2,N110,44
N2,N111,56
N2,N112,61
N2,N113,44
N2,N114,74
N2,N115,62
N2,N116,85
N2,N117,58
N2,N118,29
N2,N119,19
N2,N120,108
N2,N121,28
N2,N122,14
N2,N123,61
N2,N124,6
N2,N125,53
N2,N126,76
N2,N127,27
N2,N128,29
N2,N129,18
N2,N130,103
N2,N131,49
N2,N132,61
N2,N133,46
N2,N134,107
N2,N135,79
N2,N136,38
N2,N137,46
N2,N138,91
N2,N139,35
N2,N140,112
N2,N141,85
N2,N142,93
N2,N143,96
N2,N144,85
N2,N145,89
N2,N146,108
N2,N147,115
N2,N148,112
N2,N149,24
N2,N150,29
N2,N151,114
N2,N152,21
N2,N153,12
N2,N154,61
N2,N155,63
N2,N156,30
N2,N157,9
N2,N158,25
N2,N159,103
N2,N160,73
N2,N161,88
N2,N162,108
N2,N163,111
N2,N164,67
N2,N165,57
N2,N166,118
N2,N167,69
N2,N168,115
N2,N169,81
N2,N170,80
N2,N171,26
N2,N172,89
N2,N173,90
N2,N174,25
N2,N175,25
N2,N176,111
N2,N177,43
N2,N178,116
N2,N179,92
N2,N180,67
N2,N181,105
N2,N182,8
N2,N183,79
N2,N184,98
N2,N185,112
N2,N186,13
N2,N187,43
N2,N188,60
N2,N189,14
N2,N190,8
N2,N191,75
N2,N192,23
N2,N193,112
N2,N194,70
N2,N195,62
N2,N196,6
N2,N197,102
N2,N198,107
N2,N199,68
N2,N200,120
N3,N4,110
N3,N5,111
N3,N6,17
N3,N7,45
N3,N8,38
N3,N9,35
N3,N10,53
N3,N11,106
N3,N12,64
N3,N13,119
N3,N14,117
N3,N15,10
N3,N16,72
N3,N17,58
N3,N18,56
N3,N19,106
N3,N20,89
N3,N21,31
N3,N22,98
N3,N23,111
N3,N24,17
N3,N25,43
N3,N26,61
N3,N27,11
N3,N28,98
N3,N29,115
N3,N30,89
N3,N31,83
N3,N32,13
N3,N33,94
N3,N34,81
N3,N35,115
N3,N36,58
N3,N37,70
N3,N38,113
N3,N39,9
N3,N40,60
N3,N41,20
N3,N42,36
N3,N43,37
N3,N44,118
N3,N45,73
N3,N46,59
N3,N47,26
N3,N48,110
N3,N49,105
N3,N50,106
N3,N51,60
N3,N52,39
N3,N53,99
N3,N54,41
N3,N55,89
N3,N56,56
N3,N57,9
N3,N58,52
N3,N59,84
N3,N60,44
N3,N61,11
N3,N62,66
N3,N63,46
N3,N64,81
N3,N65,35
N3,N66,13
N3,N67,120
N3,N68,62
N3,N69,79
N3,N70,21
N3,N71,110
N3,N72,21
N3,N73,108
N3,N74,100
N3,N75,26
N3,N76,35
N3,N77,90
N3,N78,92
N3,N79,39
N3,N80,27
N3,N81,6
N3,N82,120
N3,N83,45
N3,N84,102
N3,N85,80
N3,N86,11
N3,N87,33
N3,N88,44
N3,N89,31
N3,N90,66
N3,N91,73
N3,N92,62
N3,N93,33
N3,N94,107
N3,N95,14
N3,N96,102
N3,N97,29
N3,N98,60
N3,N99,11
N3,N100,52
N3,N101,76
N3,N102,6
N3,N103,77
N3,N104,73
N3,N105,65
N3,N106,103
N3,N107,106
N3,N108,34
N3,N109,116
N3,N110,57
N3,N111,19
N3,N112,70
N3,N113,59
N3,N114,32
N3,N115,9
N3,N116,61
N3,N117,46
N3,N118,24
N3,N119,37
N3,N120,106
N3,N121,9
N3,N122,115
N3,N123,103
N3,N124,72
N3,N125,120
N3,N126,53
N3,N127,24
N3,N128,37
N3,N129,39
N3,N130,89
N3,N131,5
N3,N132,38
N3,N133,99
N3,N134,72
N3,N135,38
N3,N136,8
N3,N137,48
N3,N138,105
N3,N139,68
N3,N140,62
N3,N141,39
N3,N142,69
N3,N143,62
N3,N144,26
N3,N145,105
N3,N146,71
N3,N147,120
N3,N148,33
N3,N149,34
N3,N150,15
N3,N151,97
N3,N152,20
N3,N153,28
N3,N154,7
N3,N155,7
N3,N156,111
N3,N157,118
N3,N158,11
N3,N159,91
N3,N160,44
N3,N161,60
N3,N162,11
N3,N163,95
N3,N164,107
N3,N165,110
N3,N166,109
N3,N167,57
N3,N168,26
N3,N169,32
N3,N170,33
N3,N171,117
N3,N172,101
N3,N173,37
N3,N174,62
N3,N175,35
N3,N176,105
N3,N177,99
N3,N178,110
N3,N179,107
N3,N180,102
N3,N181,51
N3,N182,120
N3,N183,49
N3,N184,105
N3,N185,45
N3,N186,58
N3,N187,83
N3,N188,39
N3,N189,8
N3,N190,40
N3,N191,20
N3,N192,25
N3,N193,48
N3,N194,43
N3,N195,85
N3,N196,118
N3,N197,94
N3,N198,107
N3,N199,30
N3,N200,67
N4,N5,23
N4,N6,116
N4,N7,55
N4,N8,50
N4,N9,80
N4,N10,59
N4,N11,23
N4,N12,68
N4,N13,13
N4,N14,110
N4,N15,67
N4,N16,23
N4,N17,84
N4,N18,37
N4,N19,74
N4,N20,39
N4,N21,72
N4,N22,71
