student_id,merit_rank
0,95438
1,45825
2,60707
3,47663
4,33309
5,72003
6,18728
7,25333
8,82233
9,51560
10,35126
11,59054
12,11356
13,16588
14,2555
15,23220
16,86678
17,25119
18,53487
19,3200
20,27146
21,16198
22,81849
23,95854
24,26219
25,12852
26,77789
27,53749
28,51160
29,1709
30,97299
31,43343
32,81866
33,22850
34,93325
35,34014
36,91018
37,24828
38,73677
39,10600
40,77521
41,35277
42,8615
43,21388
44,21019
45,36134
46,86366
47,73581
48,33218
49,85878
50,86148
51,41955
52,82536
53,97563
54,72945
55,53010
56,40932
57,92338
58,86066
59,64271
60,26111
61,54051
62,54252
63,33596
64,2665
65,83888
66,77661
67,37501
68,55230
69,97087
70,89336
71,34731
72,61481
73,47558
74,41468
75,51166
76,75135
77,27502
78,5503
79,45250
80,13752
81,92832
82,4385
83,8618
84,67735
85,24372
86,76198
87,29394
88,58738
89,76467
90,30713
91,97060
92,47820
93,30301
94,51718
95,32873
96,51004
97,64296
98,49281
99,34028
100,91972
101,33516
102,68631
103,37965
104,37572
105,43328
106,39089
107,13618
108,50793
109,3930
110,31630
111,99888
112,26767
113,69824
114,87305
115,37524
116,37633
117,97292
118,47575
119,69296
120,96101
121,15402
122,29351
123,37448
124,52400
125,97258
126,30811
127,18519
128,54491
129,12419
130,40773
131,79228
132,85220
133,19670
134,31248
135,3553
136,25580
137,66680
138,33885
139,5108
140,13257
141,19906
142,81439
143,9005
144,69645
145,51500
146,44882
147,17285
148,53525
149,1260
150,43669
151,88392
152,11415
153,58319
154,84175
155,57538
156,97526
157,17287
158,10206
159,75431
160,55051
161,25401
162,92585
163,35587
164,56188
165,86226
166,66069
167,72007
168,75926
169,2564
170,71452
171,79519
172,78959
173,43024
174,72775
175,673
176,33798
177,63838
178,42661
179,36909
180,19378
181,89800
182,96726
183,89986
184,69940
185,89611
186,40974
187,87065
188,43852
189,62788
190,59952
191,4903
192,20724
193,65432
194,69516
195,89636
196,91007
197,31027
198,59212
199,20429
200,19653
201,89837
202,87413
203,75642
204,16052
205,59668
206,41608
207,95388
208,92890
209,54782
210,22641
211,42996
212,28439
213,89263
214,90740
215,50710
216,34119
217,5626
218,89807
219,91724
220,35640
221,30136
222,44519
223,66920
224,60546
225,51936
226,15325
227,71556
228,28844
229,26889
230,1630
231,68114
232,25833
233,69868
234,57715
235,54381
236,96544
237,24458
238,36848
239,10761
240,4382
241,73915
242,27350
243,27390
244,69667
245,77412
246,84395
247,58730
248,99353
249,50924
250,6845
251,60896
252,69478
253,55667
254,9573
255,14738
256,70616
257,13245
258,84379
259,46398
260,97533
261,60123
262,97176
263,67551
264,34154
265,51242
266,6736
267,75367
268,63416
269,73167
270,69892
271,16028
272,33961
273,69556
274,77429
275,59828
276,19888
277,16635
278,98422
279,70398
280,22310
281,76089
282,20393
283,28484
284,7288
285,1303
286,69060
287,50199
288,58014
289,38448
290,62517
291,49237
292,95877
293,92978
294,27111
295,50510
296,21152
297,27819
298,98517
299,49324
300,16467
301,30895
302,3075
303,13860
304,57285
305,36366
306,21297
307,83967
308,94528
309,23504
310,65775
311,58176
312,91358
313,81741
314,33470
315,78646
316,13586
317,34259
318,48802
319,47449
320,83439
321,97580
322,28899
323,50048
324,41018
325,89382
326,89647
327,2301
328,6924
329,41725
330,48447
331,44422
332,35371
333,30388
334,66557
335,86679
336,65936
337,13331
338,12269
339,54733
340,81426
341,68993
342,20546
343,96879
344,61984
345,25672
346,6031
347,73989
348,68598
349,71676
350,4870
351,40224
352,71904
353,82526
354,36776
355,38021
356,96952
357,47923
358,66078
359,45257
360,88646
361,28392
362,57451
363,98114
364,39477
365,19252
366,572
367,91351
368,35157
369,51895
370,87921
371,55833
372,76460
373,52038
374,11615
375,68397
376,42754
377,70393
378,81197
379,512
380,46926
381,19651
382,92198
383,23092
384,61430
385,72108
386,59855
387,5360
388,90234
389,92456
390,13885
391,78237
392,38052
393,94189
394,54275
395,31246
396,56647
397,15250
398,56601
399,35155
400,59322
401,25539
402,38402
403,51156
404,43875
405,1054
406,45954
407,37810
408,52534
409,68419
410,68385
411,68838
412,91363
413,68081
414,88560
415,7082
416,23573
417,62375
418,21318
419,92019
420,39316
421,86191
422,80175
423,92447
424,95813
425,74928
426,19343
427,64145
428,53042
429,95036
430,50044
431,53004
432,48595
433,53346
434,34261
435,66691
436,70857
437,17942
438,32392
439,90952
440,1913
441,41310
442,71849
443,26348
444,1459
445,35398
446,71383
447,40237
448,16345
449,61616
450,2991
451,28029
452,70870
453,88588
454,46903
455,92824
456,3642
457,69860
458,92483
459,97750
460,32769
461,41938
462,98407
463,88799
464,46399
465,32497
466,33726
467,78994
468,38889
469,19812
470,17407
471,27066
472,51262
473,63961
474,80623
475,34898
476,2526
477,37737
478,49072
479,84647
480,51736
481,63417
482,65511
483,47703
484,43259
485,39062
486,9143
487,82232
488,90607
489,488
490,13921
491,35540
492,4074
493,81794
494,2462
495,28869
496,74235
497,7154
498,56611
499,36235
500,82726
501,16447
502,93276
503,47038
504,63165
505,1038
506,66651
507,9994
508,9946
509,45439
510,86441
511,36686
512,16040
513,63902
514,59406
515,62453
516,81290
517,56829
518,65856
519,81878
520,86910
521,44148
522,67697
523,33459
524,51051
525,90535
526,90217
527,4703
528,35536
529,34514
530,42954
531,18671
532,28580
533,73955
534,92300
535,43042
536,52360
537,1091
538,96942
539,92408
540,26460
541,56181
542,9304
543,95803
544,26610
545,87660
546,75709
547,72104
548,47793
549,13942
550,97920
551,76798
552,87458
553,24263
554,45798
555,92752
556,26113
557,67235
558,32178
559,618
560,990
561,65611
562,6458
563,21262
564,19408
565,81703
566,46991
567,35308
568,4437
569,68136
570,90315
571,33432
572,40366
573,86349
574,20703
575,23445
576,67354
577,14361
578,47686
579,67244
580,44711
581,98054
582,62139
583,75829
584,66194
585,59299
586,2248
587,25600
588,24634
589,32692
590,7740
591,38019
592,91661
593,4684
594,97484
595,21750
596,67765
597,43358
598,3458
599,19322
600,32799
601,74027
602,97694
603,27918
604,64783
605,29905
606,5678
607,18212
608,69465
609,37587
610,7350
611,85361
612,45357
613,24750
614,95113
615,39101
616,14451
617,93557
618,19375
619,99799
620,68508
621,99436
622,31136
623,23998
624,8219
625,7872
626,66944
627,35004
628,21847
629,89549
630,40870
631,50279
632,15376
633,40414
634,51337
635,2294
636,7710
637,74603
638,22424
639,42122
640,29211
641,27961
642,54963
643,85400
