student_id,university_id
0,710
1,482
10,54
100,99
1000,247
10000,913
10001,740
10002,221
10003,103
10004,469
10005,538
10006,742
10007,792
10008,34
10009,827
1001,111
10010,165
10011,614
10012,866
10013,839
10014,276
10015,286
10016,559
10017,787
10018,522
10019,13
1002,322
10020,696
10021,231
10022,927
10023,165
10024,817
10025,969
10026,523
10027,26
10028,542
10029,304
1003,919
10030,536
10031,230
10032,663
10033,600
10034,981
10035,544
10036,48
10037,716
10038,604
10039,301
1004,979
10040,894
10041,157
10042,365
10043,346
10044,814
10045,553
10046,536
10047,223
10048,913
10049,390
1005,156
10050,482
10051,579
10052,174
10053,847
10054,496
10055,672
10056,14
10057,761
10058,395
10059,345
1006,879
10060,156
10061,590
10062,867
10063,905
10064,911
10065,277
10066,972
10067,194
10068,304
10069,960
1007,484
10070,941
10071,213
10072,614
10073,627
10074,543
10075,433
10076,152
10077,448
10078,929
10079,909
1008,401
10080,663
10081,323
10082,696
10083,688
10084,867
10085,848
10086,755
10087,376
10088,888
10089,700
1009,607
10090,350
10091,887
10092,206
10093,664
10094,459
10095,156
10096,12
10097,235
10098,893
10099,177
101,554
1010,353
10100,862
10101,857
10102,86
10103,495
10104,783
10105,120
10106,671
10107,93
10108,11
10109,313
1011,997
10110,512
10111,661
10112,90
10113,44
10114,759
10115,341
10116,308
10117,994
10118,945
10119,18
1012,75
10120,771
10121,502
10122,32
10123,682
10124,936
10125,597
10126,833
10127,635
10128,139
10129,6
1013,420
10130,208
10131,138
10132,614
10133,119
10134,502
10135,304
10136,263
10137,181
10138,941
10139,317
1014,684
10140,6
10141,498
10142,572
10143,540
10144,653
10145,90
10146,768
10147,862
10148,319
10149,513
1015,27
10150,994
10151,275
10152,758
10153,79
10154,503
10155,884
10156,927
10157,672
10158,956
10159,673
1016,102
10160,674
10161,36
10162,0
10163,92
10164,188
10165,572
10166,927
10167,288
10168,509
10169,180
1017,968
10170,539
10171,114
10172,351
10173,998
10174,244
10175,907
10176,694
10177,338
10178,141
10179,40
1018,404
10180,489
10181,48
10182,995
10183,733
10184,948
10185,302
10186,951
10187,900
10188,19
10189,198
1019,599
10190,827
10191,77
10192,587
10193,579
10194,191
10195,753
10196,487
10197,870
10198,435
10199,495
102,309
1020,747
10200,321
10201,705
10202,921
10203,361
10204,182
10205,180
10206,480
10207,761
10208,715
10209,963
1021,114
10210,969
10211,949
10212,267
10213,226
10214,619
10215,930
10216,641
10217,581
10218,391
10219,974
1022,824
10220,216
10221,764
10222,43
10223,687
10224,402
10225,247
10226,244
10227,97
10228,952
10229,232
1023,391
10230,618
10231,148
10232,732
10233,878
10234,271
10235,770
10236,34
10237,670
10238,216
10239,299
1024,612
10240,486
10241,538
10242,323
10243,852
10244,420
10245,300
10246,75
10247,213
10248,344
10249,473
1025,645
10250,512
10251,227
10252,390
10253,854
10254,699
10255,973
10256,775
10257,157
10258,326
10259,993
1026,4
10260,177
10261,667
10262,300
10263,393
10264,947
10265,691
10266,502
10267,865
10268,794
10269,515
1027,414
10270,612
10271,135
10272,532
10273,792
10274,609
10275,461
10276,608
10277,969
10278,391
10279,271
1028,31
10280,615
10281,201
10282,130
10283,806
10284,78
10285,81
10286,211
10287,261
10288,353
10289,531
1029,641
10290,154
10291,99
10292,799
10293,153
10294,240
10295,77
10296,259
10297,87
10298,36
10299,125
103,189
1030,73
10300,975
10301,350
10302,942
10303,911
10304,523
10305,821
10306,526
10307,548
10308,167
10309,404
1031,967
10310,105
10311,866
10312,707
10313,609
10314,763
10315,387
10316,639
10317,937
10318,710
10319,473
1032,633
10320,982
10321,438
10322,564
10323,613
10324,539
10325,733
10326,852
10327,0
10328,234
10329,979
1033,181
10330,444
10331,864
10332,922
10333,689
10334,639
10335,401
10336,277
10337,676
10338,532
10339,916
1034,669
10340,953
10341,160
10342,282
10343,733
10344,151
10345,471
10346,138
10347,434
10348,715
10349,236
1035,279
10350,66
10351,404
10352,635
10353,18
10354,538
10355,316
10356,87
10357,418
10358,475
10359,808
1036,677
10360,470
10361,286
10362,588
10363,833
10364,16
10365,777
10366,16
10367,332
10368,418
10369,926
1037,582
10370,380
10371,83
10372,936
10373,637
10374,179
10375,906
10376,346
10377,971
10378,386
10379,394
1038,800
10380,856
10381,162
10382,361
10383,937
10384,994
10385,661
10386,36
10387,391
10388,880
10389,384
1039,913
10390,171
10391,481
10392,276
10393,833
10394,929
10395,481
10396,34
10397,832
10398,32
10399,895
104,171
1040,764
10400,964
10401,152
10402,427
10403,774
10404,99
10405,841
10406,873
10407,956
10408,689
10409,902
1041,299
10410,954
10411,63
10412,270
10413,384
10414,531
10415,359
10416,535
10417,370
10418,572
10419,135
1042,768
10420,478
10421,270
10422,559
10423,306
10424,235
10425,160
10426,500
10427,757
10428,998
10429,685
1043,177
10430,728
10431,429
10432,218
10433,600
10434,946
10435,126
10436,531
10437,966
10438,123
10439,468
1044,955
10440,615
10441,903
10442,366
10443,664
10444,207
10445,177
10446,163
10447,701
10448,716
10449,877
1045,235
10450,553
10451,229
10452,753
10453,584
10454,366
10455,676
10456,860
10457,671
10458,609
10459,980
1046,604
10460,333
10461,697
10462,505
10463,869
10464,230
10465,33
10466,850
10467,639
10468,233
10469,595
1047,766
10470,520
10471,558
10472,895
10473,976
10474,895
10475,461
10476,786
10477,885
10478,36
10479,495
1048,251
10480,408
10481,94
10482,971
10483,597
10484,599
10485,44
10486,250
10487,791
10488,163
10489,860
1049,335
10490,338
10491,405
10492,370
10493,684
10494,991
10495,498
10496,884
10497,101
10498,196
10499,612
105,404
1050,221
10500,966
10501,491
10502,541
10503,509
10504,102
10505,40
10506,681
10507,309
10508,613
10509,32
1051,151
10510,991
10511,155
10512,889
10513,556
10514,595
10515,613
10516,841
10517,257
10518,785
10519,911
1052,418
10520,82
10521,405
10522,531
10523,882
10524,769
10525,793
10526,139
10527,340
10528,577
10529,963
1053,999
10530,794
10531,853
10532,100
10533,372
10534,807
10535,309
10536,777
10537,914
10538,756
10539,277
1054,680
10540,713
10541,241
10542,289
10543,980
10544,496
10545,668
10546,661
10547,867
10548,441
10549,102
1055,372
10550,465
10551,85
10552,776
10553,68
10554,964
10555,277
10556,425
10557,635
10558,730
10559,69
1056,827
10560,879
10561,3
10562,573
10563,581
10564,520
10565,568
10566,901
10567,684
10568,929
10569,68
1057,203
10570,838
10571,452
10572,807
10573,775
10574,453
10575,247
10576,703
10577,214
10578,564
10579,718
1058,324
10580,652
10581,540
10582,119
10583,416
10584,512
10585,466
10586,635
10587,388
10588,34
10589,506
1059,46
10590,7
10591,380
10592,574
10593,889
10594,352
10595,40
10596,593
10597,243
10598,13
10599,74
106,118
1060,981
10600,237
10601,115
10602,928
10603,114
10604,868
10605,876
10606,849
10607,529
10608,605
10609,750
1061,483
10610,64
10611,846
